X,Y,gid,Name,description,altitudeMode,CODE_10KM,CD_SIG,FID,Field_1
8.55357662072759,41.4494416471148,8562,10kmL93E116N605,,clampToGround,E116N605,10kmL93E116N605,8561,10kmL93E116N605
8.83106241868617,43.0563701444098,8569,10kmL93E117N623,,clampToGround,E117N623,10kmL93E117N623,8568,10kmL93E117N623
8.77416862604477,41.2574910389436,8576,10kmL93E118N603,,clampToGround,E118N603,10kmL93E118N603,8575,10kmL93E118N603
8.83564834917345,41.8843740353005,8583,10kmL93E118N610,,clampToGround,E118N610,10kmL93E118N610,8582,10kmL93E118N610
8.89844889536086,42.5116842254607,8590,10kmL93E118N617,,clampToGround,E118N617,10kmL93E118N617,8589,10kmL93E118N617
8.96261320935363,43.1393508374002,8597,10kmL93E118N624,,clampToGround,E118N624,10kmL93E118N624,8596,10kmL93E118N624
8.89278653459397,41.2508658284138,8604,10kmL93E119N603,,clampToGround,E119N603,10kmL93E119N603,8603,10kmL93E119N603
8.95551978091713,41.8776730923809,8611,10kmL93E119N610,,clampToGround,E119N610,10kmL93E119N610,8610,10kmL93E119N610
9.01960047146997,42.504906673633,8618,10kmL93E119N617,,clampToGround,E119N617,10kmL93E119N617,8617,10kmL93E119N617
9.08507240289751,43.1324957815587,8625,10kmL93E119N624,,clampToGround,E119N624,10kmL93E119N624,8624,10kmL93E119N624
9.02043616577228,41.3336103841667,8632,10kmL93E120N604,,clampToGround,E120N604,10kmL93E120N604,8631,10kmL93E120N604
9.08461570618286,41.9604054632691,8639,10kmL93E120N611,,clampToGround,E120N611,10kmL93E120N611,8638,10kmL93E120N611
9.15017553744571,42.5876159071615,8646,10kmL93E120N618,,clampToGround,E120N618,10kmL93E120N618,8645,10kmL93E120N618
9.21716057851369,43.2151707737522,8653,10kmL93E120N625,,clampToGround,E120N625,10kmL93E120N625,8652,10kmL93E120N625
9.16705168310696,41.595242629515,8660,10kmL93E121N607,,clampToGround,E121N607,10kmL93E121N607,8659,10kmL93E121N607
9.23308425925184,42.2221450452748,8667,10kmL93E121N614,,clampToGround,E121N614,10kmL93E121N614,8666,10kmL93E121N614
